wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1539.80000000	0.00746571	0.00744007	0.00713247	0.00721578	0.00710609	0.00710466	0.00688998	0.00703481	0.70385551
1539.90000000	0.00743958	0.00743318	0.00711919	0.00719608	0.00709398	0.00706446	0.00688491	0.00697809	0.71065594
1540.00000000	0.00744014	0.00743373	0.00710691	0.00718381	0.00707465	0.00705564	0.00686864	0.00696092	0.69694858
1540.10000000	0.00752344	0.00743372	0.00709408	0.00714535	0.00705841	0.00704871	0.00688004	0.00698539	0.70422185
1540.20000000	0.00738120	0.00736839	0.00711209	0.00715695	0.00704973	0.00705545	0.00686080	0.00699779	0.69862421
1540.30000000	0.00738465	0.00733341	0.00708363	0.00711565	0.00706334	0.00704264	0.00687470	0.00696155	0.71275767
1540.40000000	0.00737314	0.00730273	0.00707232	0.00711073	0.00700576	0.00700794	0.00682374	0.00694265	0.71163264
1540.50000000	0.00743577	0.00737184	0.00706494	0.00712248	0.00701997	0.00702159	0.00682454	0.00689730	0.70521904
1540.60000000	0.00738696	0.00734865	0.00706134	0.00710604	0.00701005	0.00696353	0.00681643	0.00694259	0.71638492
1540.70000000	0.00736218	0.00727294	0.00706897	0.00706259	0.00699598	0.00695831	0.00682037	0.00692810	0.71752256
1540.80000000	0.00737550	0.00717186	0.00703186	0.00703186	0.00695825	0.00694531	0.00678902	0.00687900	0.71774071
1540.90000000	0.00735827	0.00724389	0.00702149	0.00707232	0.00694884	0.00692618	0.00677876	0.00689224	0.70747186
1541.00000000	0.00726126	0.00722952	0.00700102	0.00703276	0.00694781	0.00690734	0.00674942	0.00688207	0.71271734
1541.10000000	0.00732017	0.00719331	0.00699666	0.00706010	0.00692805	0.00693209	0.00676869	0.00687665	0.72003176
1541.20000000	0.00736222	0.00712759	0.00703248	0.00699443	0.00690227	0.00687153	0.00677654	0.00686126	0.72368699
1541.30000000	0.00729047	0.00715734	0.00701153	0.00698618	0.00693335	0.00689476	0.00675009	0.00684328	0.71258440
1541.40000000	0.00722358	0.00717923	0.00702715	0.00698914	0.00690518	0.00689396	0.00677724	0.00685480	0.71381386
1541.50000000	0.00728003	0.00716608	0.00700782	0.00696351	0.00690179	0.00688932	0.00676891	0.00683348	0.69806754
1541.60000000	0.00723071	0.00709166	0.00693364	0.00694629	0.00687866	0.00686374	0.00672140	0.00680761	0.69484252
1541.70000000	0.00719158	0.00704018	0.00696448	0.00695186	0.00686008	0.00684752	0.00673662	0.00681775	0.70054554
1541.80000000	0.00711485	0.00710226	0.00693855	0.00689448	0.00683844	0.00682119	0.00673317	0.00679865	0.69404630
1541.90000000	0.00721070	0.00709754	0.00694666	0.00697810	0.00685928	0.00684457	0.00670903	0.00680459	0.68783209
1542.00000000	0.00718591	0.00704771	0.00694721	0.00697862	0.00685854	0.00685525	0.00672234	0.00683025	0.70071546
1542.10000000	0.00704856	0.00700458	0.00692920	0.00694176	0.00683988	0.00684212	0.00671196	0.00680418	0.69112207
1542.20000000	0.00710405	0.00707261	0.00695317	0.00699089	0.00686347	0.00687332	0.00677525	0.00684239	0.70686370
1542.30000000	0.00717960	0.00711667	0.00695936	0.00699082	0.00686865	0.00690323	0.00676782	0.00687001	0.70417236
1542.40000000	0.00718376	0.00711450	0.00696340	0.00699488	0.00687850	0.00689338	0.00677666	0.00690044	0.70776567
1542.50000000	0.00716345	0.00709420	0.00702496	0.00704384	0.00690788	0.00693268	0.00681597	0.00691279	0.70991269
1542.60000000	0.00720465	0.00714807	0.00704748	0.00704748	0.00693474	0.00693344	0.00685686	0.00690816	0.71010993
1542.70000000	0.00721572	0.00715297	0.00702748	0.00702748	0.00692437	0.00694792	0.00683209	0.00692019	0.69063328
1542.80000000	0.00726344	0.00716952	0.00705055	0.00707559	0.00695454	0.00696601	0.00683665	0.00692945	0.70578637
1542.90000000	0.00718913	0.00712661	0.00701409	0.00706410	0.00697856	0.00699346	0.00686080	0.00693632	0.69351554
1543.00000000	0.00725332	0.00712212	0.00705340	0.00709088	0.00696656	0.00698555	0.00687734	0.00696731	0.69845094
1543.10000000	0.00733985	0.00718980	0.00712103	0.00709602	0.00700610	0.00702563	0.00690896	0.00698361	0.69293538
1543.20000000	0.00728948	0.00721433	0.00712666	0.00712666	0.00703105	0.00705890	0.00689570	0.00701594	0.68973084
1543.30000000	0.00736685	0.00727273	0.00719743	0.00722253	0.00706754	0.00710883	0.00700918	0.00704507	0.68663504
1543.40000000	0.00739847	0.00726018	0.00720360	0.00722875	0.00709014	0.00711887	0.00701754	0.00707261	0.69810571
1543.50000000	0.00742356	0.00727886	0.00724112	0.00723482	0.00714759	0.00710334	0.00704810	0.00711668	0.69496054
1543.60000000	0.00738849	0.00737591	0.00725015	0.00731303	0.00712460	0.00717910	0.00708402	0.00718941	0.68566985
1543.70000000	0.00737071	0.00734560	0.00729537	0.00731421	0.00716049	0.00720145	0.00712825	0.00717044	0.69184098
1543.80000000	0.00746737	0.00734208	0.00733581	0.00729196	0.00717064	0.00720238	0.00711743	0.00716805	0.67473506
